author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
ГОРОБМЕН,real_estate_agent,https://balashikha.cian.ru/sale/flat/305789689/,Балашиха,sale,flat,14,17,1,39.0,5300000.0,,Трубецкая ,108,Щёлковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308912643/,Балашиха,sale,flat,20,24,2,52.8,8275238.0,,,,Салтыковская,Квартал Авиаторов ЖК
CENTURY 21 Перспектива,real_estate_agent,https://balashikha.cian.ru/sale/flat/308884124/,Балашиха,sale,flat,4,22,2,35.6,6950000.0,,шоссе Косинское,7,Ольгино,Новоград Павлино
ИНКОМ-Недвижимость,real_estate_agent,https://balashikha.cian.ru/sale/flat/304871580/,Балашиха,sale,flat,5,5,2,42.2,5650000.0,,Советская ,13,Салтыковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308912672/,Балашиха,sale,flat,14,24,1,38.0,6174012.0,,,,Салтыковская,Квартал Авиаторов ЖК
CENTURY 21 Перспектива,real_estate_agent,https://balashikha.cian.ru/sale/flat/308786286/,Балашиха,sale,flat,4,22,1,35.6,6950000.0,,шоссе Косинское,7,Ольгино,Новоград Павлино
i-deal,real_estate_agent,https://balashikha.cian.ru/sale/flat/308426529/,Балашиха,sale,flat,20,22,1,29.8,5400000.0,, Бояринова,15,Ольгино,Новоград Павлино
Самолет,developer,https://balashikha.cian.ru/sale/flat/308912663/,Балашиха,sale,flat,22,24,1,40.63,6798902.0,,,,Салтыковская,Квартал Авиаторов ЖК
CENTURY 21 Перспектива,real_estate_agent,https://balashikha.cian.ru/sale/flat/308453005/,Балашиха,sale,flat,6,19,2,60.0,9500000.0,, Дмитриева,4,Первомайская,Алексеевская роща
Валерий Чернов,realtor,https://balashikha.cian.ru/sale/flat/307498253/,Балашиха,sale,flat,5,5,1,32.0,4500000.0,, Пионерская,10,Железнодорожная,
Стройинвест,representative_developer,https://balashikha.cian.ru/sale/flat/305430669/,Балашиха,sale,flat,3,17,2,55.5,8427700.0,,проспект Героев,12,Лухмановская,Центр-2
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651087/,Балашиха,sale,flat,3,22,2,61.8,11293688.0,, Бояринова,36,Ольгино,Новоград Павлино
ГОРОДА,real_estate_agent,https://balashikha.cian.ru/sale/flat/308687107/,Балашиха,sale,flat,17,22,1,45.0,9800000.0,, Дмитриева,2,Щёлковская,Алексеевская роща
Самолет,developer,https://balashikha.cian.ru/sale/flat/308650805/,Балашиха,sale,flat,15,22,2,46.72,8932991.0,,,к8,Некрасовка,Новоград Павлино
ОГРК,real_estate_agent,https://balashikha.cian.ru/sale/flat/302542032/,Балашиха,sale,flat,13,25,1,51.0,9999999.0,, Демин луг,2,Новогиреево,Новое Измайлово
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651094/,Балашиха,sale,flat,10,22,1,44.1,10133915.0,, Бояринова,36,Ольгино,Новоград Павлино
ОГРК,real_estate_agent,https://balashikha.cian.ru/sale/flat/305715602/,Балашиха,sale,flat,25,25,2,65.5,10000000.0,, Строителей,1,Реутов,Новое Измайлово
СЕТЬСТРОЙ БАЛАШИХА,developer,https://balashikha.cian.ru/sale/flat/289976999/,Балашиха,sale,flat,10,17,1,34.4,6897200.0,г. Балашиха,ул. Твардовского,к3,Новокосино,Квартал Светлый ЖК
Самолет,developer,https://balashikha.cian.ru/sale/flat/308721970/,Балашиха,sale,flat,22,22,1,50.24,8581746.0,,,к6,Некрасовка,Новоград Павлино
CENTURY 21 Перспектива,real_estate_agent,https://balashikha.cian.ru/sale/flat/308629109/,Балашиха,sale,flat,2,22,2,61.4,10150000.0,, Романычева,3,Ольгино,Новоград Павлино
Самолет,developer,https://balashikha.cian.ru/sale/flat/308661943/,Балашиха,sale,flat,12,17,1,44.98,9279162.0,,,к8,Щёлковская,Квартал Авиаторов ЖК
Три Ступени,real_estate_agent,https://balashikha.cian.ru/sale/flat/303105958/,Балашиха,sale,flat,11,17,2,60.3,10400000.0,,Зеленая ,36,Салтыковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308661945/,Балашиха,sale,flat,16,17,1,38.36,7988685.0,,,к8,Щёлковская,Квартал Авиаторов ЖК
ID 13051860,homeowner,https://balashikha.cian.ru/sale/flat/270197095/,Балашиха,sale,flat,8,17,2,72.0,10500000.0,, Лесопарковая,16,Железнодорожная,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308661944/,Балашиха,sale,flat,15,17,1,39.02,8361880.0,,,к8,Щёлковская,Квартал Авиаторов ЖК
Лёля Зарубина,realtor,https://balashikha.cian.ru/sale/flat/308606932/,Балашиха,sale,flat,15,26,2,60.0,10500000.0,,Балашихинское шоссе,12,Щёлковская,Лесной городок
СЕТЬСТРОЙ БАЛАШИХА,developer,https://balashikha.cian.ru/sale/flat/292441632/,Балашиха,sale,flat,6,17,1,31.4,6405600.0,г. Балашиха,ул. Твардовского,к3,Новокосино,Квартал Светлый ЖК
ID 122991250,homeowner,https://balashikha.cian.ru/sale/flat/308520376/,Балашиха,sale,flat,16,22,2,66.9,10800000.0,,шоссе Косинское,1,Ольгино,Новоград Павлино
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651038/,Балашиха,sale,flat,4,22,1,37.6,8515385.0,, Бояринова,30,Ольгино,Новоград Павлино
ID 13032525,unknown,https://balashikha.cian.ru/sale/flat/308569958/,Балашиха,sale,flat,6,17,2,70.1,11300000.0,, Брагина,3,Ольгино,Леоновский парк
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651096/,Балашиха,sale,flat,6,22,1,38.2,8855639.0,, Бояринова,36,Ольгино,Новоград Павлино
ID 121038268,homeowner,https://balashikha.cian.ru/sale/flat/306536251/,Балашиха,sale,flat,14,17,2,63.0,11500000.0,,,29,Щёлковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308722025/,Балашиха,sale,flat,15,22,1,36.9,6250159.0,,,к6,Некрасовка,Новоград Павлино
Сергей Лапшин,realtor,https://balashikha.cian.ru/sale/flat/275329876/,Балашиха,sale,flat,14,19,2,73.3,11490000.0,,шоссе Энтузиастов,5Б,Салтыковская,"Балашиха, ул. Шоссе Энтузиастов, д. 5Б"
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651114/,Балашиха,sale,flat,17,22,1,41.8,7162441.0,, Бояринова,36,Ольгино,Новоград Павлино
ОГРК,real_estate_agent,https://balashikha.cian.ru/sale/flat/307678378/,Балашиха,sale,flat,4,25,2,67.0,11599000.0,,бульвар Горенский,3,Салтыковская,Новое Измайлово
Самолет,developer,https://balashikha.cian.ru/sale/flat/308722103/,Балашиха,sale,flat,14,22,1,36.9,6387907.0,,,к8,Некрасовка,Новоград Павлино
БЕСТ-Недвижимость на Баррикадной,real_estate_agent,https://balashikha.cian.ru/sale/flat/302673121/,Балашиха,sale,flat,2,10,2,71.3,11690000.0,, Ситникова,6,Салтыковская,Новое Измайлово
Самолет,developer,https://balashikha.cian.ru/sale/flat/308912719/,Балашиха,sale,flat,14,17,1,34.6,5727580.0,,,к7,Салтыковская,Квартал Авиаторов ЖК
CENTURY 21 Перспектива,real_estate_agent,https://balashikha.cian.ru/sale/flat/306890260/,Балашиха,sale,flat,4,5,2,42.4,6200000.0,,шоссе Саввинское,21,Железнодорожная,
ID 168147,homeowner,https://balashikha.cian.ru/sale/flat/308095694/,Балашиха,sale,flat,9,25,1,34.0,7500000.0,, Яганова,12,Щёлковская,Пехра
Самолет,developer,https://balashikha.cian.ru/sale/flat/308912709/,Балашиха,sale,flat,13,17,2,60.17,9904764.0,,,к7,Салтыковская,Квартал Авиаторов ЖК
Вера Кононова,realtor,https://balashikha.cian.ru/sale/flat/308490640/,Балашиха,sale,flat,5,10,1,41.3,5350000.0,, Детская,11,Железнодорожная,
Абсолют Недвижимость,representative_developer,https://balashikha.cian.ru/sale/flat/304783230/,Балашиха,sale,flat,5,22,1,36.39,6312988.0,,,к8,Некрасовка,Новоград Павлино
ID 102898421,homeowner,https://balashikha.cian.ru/sale/flat/306755203/,Балашиха,sale,flat,3,17,1,49.0,6950000.0,, Лукино,57а,Щёлковская,
М-С Юбилейная,real_estate_agent,https://balashikha.cian.ru/sale/flat/297983637/,Балашиха,sale,flat,4,5,2,42.0,5950000.0,, Некрасова,15,Железнодорожная,
ПИК,developer,https://balashikha.cian.ru/sale/flat/307330282/,Балашиха,sale,flat,13,23,1,34.3,9327267.0,, Реутовская,3,Реутов,Измайловский лес
ID 103953608,homeowner,https://balashikha.cian.ru/sale/flat/299436895/,Балашиха,sale,flat,16,25,2,69.0,11700000.0,,,29,Щёлковская,Булганинский (Щитниковский лес)
Анатолий Василькин,realtor,https://balashikha.cian.ru/sale/flat/308536352/,Балашиха,sale,flat,7,9,1,33.0,5800000.0,, Юбилейная,4к1,Железнодорожная,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308650781/,Балашиха,sale,flat,15,22,1,33.9,5778673.0,,,к7,Некрасовка,Новоград Павлино
ID 117117275,homeowner,https://balashikha.cian.ru/sale/flat/307655742/,Балашиха,sale,flat,1,21,1,38.1,5700000.0,, Граничная,38,Ольгино,
Сергей Антонов,realtor,https://balashikha.cian.ru/sale/flat/308203676/,Балашиха,sale,flat,13,22,1,45.1,5800000.0,, Чистопольская,28,Щёлковская,Эдельвейс-Комфорт
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651029/,Балашиха,sale,flat,9,22,2,57.4,13655288.0,, Бояринова,30,Ольгино,Новоград Павлино
ГОРОДА,real_estate_agent,https://balashikha.cian.ru/sale/flat/306655990/,Балашиха,sale,flat,1,5,2,44.8,5000000.0,,шоссе Энтузиастов,21,Салтыковская,
Мария Маркелова,realtor,https://balashikha.cian.ru/sale/flat/307807666/,Балашиха,sale,flat,1,5,2,42.5,5350000.0,,Советская ,9,Салтыковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308650959/,Балашиха,sale,flat,7,22,1,37.86,6537892.0,,,,Некрасовка,Новоград Павлино
ID 121835251,homeowner,https://balashikha.cian.ru/sale/flat/307400482/,Балашиха,sale,flat,2,25,2,62.8,9600000.0,,,2,Щёлковская,Щитниково Изумрудный
Жанна Гончарова,realtor,https://balashikha.cian.ru/sale/flat/305233625/,Балашиха,sale,flat,6,9,1,26.8,5100000.0,,проспект Ленина,1,Салтыковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308722088/,Балашиха,sale,flat,18,22,1,36.39,6762572.0,,,к8,Некрасовка,Новоград Павлино
ID 7633548,homeowner,https://balashikha.cian.ru/sale/flat/308857309/,Балашиха,sale,flat,12,18,1,42.2,7100000.0,, Струве,9,Железнодорожная,Центр-2
Доступная Недвижимость Офис Сретенский,real_estate_agent,https://balashikha.cian.ru/sale/flat/303914871/,Балашиха,sale,flat,3,3,1,31.0,5000000.0,, Почтовая,10,Кучино,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651065/,Балашиха,sale,flat,5,22,1,35.4,6620482.0,, Бояринова,30,Ольгино,Новоград Павлино
ID 92608478,homeowner,https://balashikha.cian.ru/sale/flat/307800185/,Балашиха,sale,flat,9,10,1,31.0,7150000.0,, Лукино,53,Щёлковская,
Динара Галлямова,realtor,https://balashikha.cian.ru/sale/flat/302511646/,Балашиха,sale,flat,1,5,2,44.6,5500000.0,,шоссе Энтузиастов,45,Салтыковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651084/,Балашиха,sale,flat,22,22,2,63.5,11805762.0,, Бояринова,36,Ольгино,Новоград Павлино
ID 117969890,homeowner,https://balashikha.cian.ru/sale/flat/303742912/,Балашиха,sale,flat,1,17,2,64.2,8880000.0,, Кожедуба,4,Щёлковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308722110/,Балашиха,sale,flat,21,22,1,35.2,6255603.0,,,к8,Некрасовка,Новоград Павлино
ID 123222080,homeowner,https://balashikha.cian.ru/sale/flat/308493936/,Балашиха,sale,flat,1,24,1,37.3,7800000.0,, Дмитриева,8,Первомайская,Алексеевская роща
Владис,real_estate_agent,https://balashikha.cian.ru/sale/flat/308911014/,Балашиха,sale,flat,4,16,1,43.3,5690000.0,, Майкла Лунна,8,Щёлковская,
Самолет,developer,https://balashikha.cian.ru/sale/flat/308651115/,Балашиха,sale,flat,7,22,1,39.5,7099365.0,, Бояринова,36,Ольгино,Новоград Павлино
ID 90471668,homeowner,https://balashikha.cian.ru/sale/flat/307541456/,Балашиха,sale,flat,7,25,2,64.0,8900000.0,,Балашихинское шоссе,16,Щёлковская,
